highscore
10800
10800
11300
15000
16900
17900
17900
22000
23000
29000
31600
31600
31600
33000
33000
37000
38100
38300
40800
40800
40800
43800
46000
48000
50000
50000
51600
51600
53300
53800
56200
58400
58600
60000
60000
61900
62600
64900
65200
66200
67300
67300
67400
69700
70600
71500
71900
73300
73300
74200
77100
79500
79800
80500
80500
80900
80900
82300
83200
84000
84900
84900
84900
84900
84900
86000
86000
86500
86500
86500
86500
87300
87300
87300
88800
88800
88800
89200
89200
89200
89200
92900
92900
92900
93400
94600
95900
97200
98100
98100
98100
98100
100200
100200
100200
103900
103900
103900
104000
106000
106000
106000
106000
106000
106000
106000
107800
107800
107800
107800
110000
110000
110000
110000
110000
110000
110000
111000
111000
111000
111000
111000
111000
111000
113000
113000
114000
114000
114000
114000
116000
116000
116000
116000
116000
118000
118000
119000
119000
119000
120000
120000
120000
120000
120000
122000
122000
122000
122000
123000
123000
123000
123000
123000
123000
123000
125000
125000
125000
125000
125000
125000
125000
125000
125000
128100
128100
128100
128100
128100
128100
128100
128100
129500
129500
129500
129500
129500
129500
130000
130000
130000
130000
130000
130000
131000
131000
131000
131000
131000
131000
132000
134000
